keyword,title,subscriber_count,channel_id
technology,House Technology,2610000,UCf9phz2kU2DaJBwDATTD05Q
technology,Tamil Tech - MrTT,3930000,UC20sXo8ReewkzNKBFgzVCPA
technology,Primitive Technology,10900000,UCAL3JXZSzSm8AlZyD3nQdBA
technology,Technology for Teachers and Students,1440000,UCYUPLUCkMiUgiyVuluCc7tQ
technology,Brick Technology,1640000,UCUuvZ0skL2WYZ3rhPMZbfdA
technology,Linus Tech Tips,15600000,UCXuqSBlHAE6Xw-yeJA0Tunw
technology,Google Cloud Tech,1120000,UCJS9pqu9BzkAMNTmzNMNhvg
education,Nail Career Education,2770000,UCTldDNXS4GeChcmwm55mXYQ
travel,Fit and Travel,1090000,UCBMjORco1vbZmC1cf_xnEmg
travel,Travel Alone Idea,1530000,UCUJNWCiqMT_UudVRSSGZ3SA
travel,Travel Shooters,1460000,UCniYVKcFA1nAB7GVRmJgC_g
travel,Music Travel Love,4780000,UCLxAS02eWvfZK4icRNzWD_g
travel,the Luxury Travel Expert,1230000,UCYxsXxbjJO1YYa9yQ3lKC8w
music,Yellow Brick Cinema - Relaxing Music,6360000,UCwobzUc3z-0PrFpoRxNszXQ
music,Super Simple Songs - Kids Songs,41500000,UCLsooMJoIpl_7ux2jvdPB-Q
music,Hindi Music Library_HT,1310000,UCtokcSbYTXFZK5GQDV5tJ0Q
music,Music Brokers,1430000,UCyKs4L4EULCfySbTybA9bAg
music,Cafe Music BGM channel,3770000,UCJhjE7wbdYAae1G25m0tHAA
music,浙江卫视音乐频道 ZJSTV Music Channel - 欢迎订阅 -,1900000,UCp8cPvx_Od76EL66vvCnhRA
music,Relax Music,1460000,UC7bX_RrH3zbdp5V4j5umGgw
music,POYO Music Official,1140000,UCi0mZC22Uj3ww0w9KtkPgZQ
music,POPS MUSIC,10000000,UCUgXK2UjZ8G_EM438aYkGrw
cooking,Creative Cooking,2180000,UCNCT7P70OGljn0coPgmgG-w
cooking,Cooking Con Claudia,1110000,UC0tVWRw4aNoVqXaobA8E_Ig
cooking,Cooking With Sariya,1580000,UCH6fhsgmMBqcC5oylMtmpgw
cooking,VILLAGE FOOD SAFARI,1650000,UCQwKXKnClk1hOIl5kMVt1cA
cooking,Stop Motion Cooking,2150000,UC65bBCzteDiLpPfBQu38xmg
cooking,Delmira Cooking,3050000,UC03-wg9CL5qv1Vq5adPIm-w
